tissue,annotation_level,celltype,marker
Motor Cortex,cluster,NOSTRIN+ SRGN+ Layer 2-5 Endothelial Cell,HLA-E
Motor Cortex,cluster,LAMP5+ KCNG3+ Layer 2 Glutamatergic Neuron,KCNG3
Motor Cortex,cluster,LAMP5+ KCNG3+ Layer 2 Glutamatergic Neuron,LAMP5
Motor Cortex,cluster,LAMP5+ KCNG3+ Layer 2 Glutamatergic Neuron,LINGO2
Motor Cortex,cluster,LAMP5+ KCNG3+ Layer 2 Glutamatergic Neuron,SPON1
Motor Cortex,cluster,LAMP5+ KCNG3+ Layer 2 Glutamatergic Neuron,PALMD
Motor Cortex,cluster,LAMP5+ KCNG3+ Layer 2 Glutamatergic Neuron,PARD3
Motor Cortex,cluster,LAMP5+ KCNG3+ Layer 2 Glutamatergic Neuron,TMEM196
Motor Cortex,cluster,LAMP5+ KCNG3+ Layer 2 Glutamatergic Neuron,ADRA1A
Motor Cortex,cluster,LAMP5+ KCNG3+ Layer 2 Glutamatergic Neuron,GRM1
Motor Cortex,cluster,LINC00507+ ATP7B+ Layer 2 Glutamatergic Neuron,CHRM2
Motor Cortex,cluster,LINC00507+ ATP7B+ Layer 2 Glutamatergic Neuron,SEMA5A
Motor Cortex,cluster,LINC00507+ ATP7B+ Layer 2 Glutamatergic Neuron,LINC00507
Motor Cortex,cluster,LINC00507+ ATP7B+ Layer 2 Glutamatergic Neuron,BDNF
Motor Cortex,cluster,LINC00507+ ATP7B+ Layer 2 Glutamatergic Neuron,RASAL1
Motor Cortex,cluster,LINC00507+ ATP7B+ Layer 2 Glutamatergic Neuron,ITGB8
Motor Cortex,cluster,LINC00507+ ATP7B+ Layer 2 Glutamatergic Neuron,ACVR1C
Motor Cortex,cluster,LINC00507+ ATP7B+ Layer 2 Glutamatergic Neuron,ATP7B
Motor Cortex,cluster,LINC00507+ ATP7B+ Layer 2 Glutamatergic Neuron,KCNK2
Motor Cortex,cluster,LINC00507+ GLRA3+ Layer 2 Glutamatergic Neuron,KIAA1217
Motor Cortex,cluster,LINC00507+ GLRA3+ Layer 2 Glutamatergic Neuron,GLRA3
Motor Cortex,cluster,LINC00507+ GLRA3+ Layer 2 Glutamatergic Neuron,LINC00507
Motor Cortex,cluster,LINC00507+ GLRA3+ Layer 2 Glutamatergic Neuron,DGKB
Motor Cortex,cluster,LINC00507+ GLRA3+ Layer 2 Glutamatergic Neuron,ENC1
Motor Cortex,cluster,LINC00507+ GLRA3+ Layer 2 Glutamatergic Neuron,DMD
Motor Cortex,cluster,LINC00507+ GLRA3+ Layer 2 Glutamatergic Neuron,MAN1A1
Motor Cortex,cluster,LINC00507+ GLRA3+ Layer 2 Glutamatergic Neuron,SLIT3
Motor Cortex,cluster,LINC00507+ GLRA3+ Layer 2 Glutamatergic Neuron,LINC01378
Motor Cortex,cluster,LINC00507+ DSG3+ Layer 2-3 Glutamatergic Neuron,ADCYAP1
Motor Cortex,cluster,LINC00507+ DSG3+ Layer 2-3 Glutamatergic Neuron,SV2C
Motor Cortex,cluster,LINC00507+ DSG3+ Layer 2-3 Glutamatergic Neuron,LINC00507
Motor Cortex,cluster,LINC00507+ DSG3+ Layer 2-3 Glutamatergic Neuron,SERPINE2
Motor Cortex,cluster,LINC00507+ DSG3+ Layer 2-3 Glutamatergic Neuron,NOX4
Motor Cortex,cluster,LINC00507+ DSG3+ Layer 2-3 Glutamatergic Neuron,DSG3
Motor Cortex,cluster,LINC00507+ DSG3+ Layer 2-3 Glutamatergic Neuron,DLGAP1
Motor Cortex,cluster,LINC00507+ DSG3+ Layer 2-3 Glutamatergic Neuron,BMPR1B
Motor Cortex,cluster,LINC00507+ DSG3+ Layer 2-3 Glutamatergic Neuron,CBLN2
Motor Cortex,cluster,RORB+ CCDC68+ Layer 2-3 Glutamatergic Neuron,LINGO2
Motor Cortex,cluster,RORB+ CCDC68+ Layer 2-3 Glutamatergic Neuron,VIPR2
Motor Cortex,cluster,RORB+ CCDC68+ Layer 2-3 Glutamatergic Neuron,NTNG1
Motor Cortex,cluster,RORB+ CCDC68+ Layer 2-3 Glutamatergic Neuron,CCDC68
Motor Cortex,cluster,RORB+ CCDC68+ Layer 2-3 Glutamatergic Neuron,PTPRZ1
Motor Cortex,cluster,RORB+ CCDC68+ Layer 2-3 Glutamatergic Neuron,COBLL1
Motor Cortex,cluster,RORB+ CCDC68+ Layer 2-3 Glutamatergic Neuron,RORB
Motor Cortex,cluster,RORB+ CCDC68+ Layer 2-3 Glutamatergic Neuron,CNTNAP5
Motor Cortex,cluster,RORB+ CCDC68+ Layer 2-3 Glutamatergic Neuron,LRRC4C
Motor Cortex,cluster,RORB+ PTPN3+ Layer 2-3 Glutamatergic Neuron,PEX5L
Motor Cortex,cluster,RORB+ PTPN3+ Layer 2-3 Glutamatergic Neuron,GRIA1
Motor Cortex,cluster,RORB+ PTPN3+ Layer 2-3 Glutamatergic Neuron,NTNG1
Motor Cortex,cluster,RORB+ PTPN3+ Layer 2-3 Glutamatergic Neuron,COL5A2
Motor Cortex,cluster,RORB+ PTPN3+ Layer 2-3 Glutamatergic Neuron,RMST
Motor Cortex,cluster,RORB+ PTPN3+ Layer 2-3 Glutamatergic Neuron,GULP1
Motor Cortex,cluster,RORB+ PTPN3+ Layer 2-3 Glutamatergic Neuron,PTPN3
Motor Cortex,cluster,RORB+ PTPN3+ Layer 2-3 Glutamatergic Neuron,GRM1
Motor Cortex,cluster,RORB+ PTPN3+ Layer 2-3 Glutamatergic Neuron,POU6F2
Motor Cortex,cluster,RORB+ RTKN2+ Layer 2-3 Glutamatergic Neuron,EPHA6
Motor Cortex,cluster,RORB+ RTKN2+ Layer 2-3 Glutamatergic Neuron,GALNT13
Motor Cortex,cluster,RORB+ RTKN2+ Layer 2-3 Glutamatergic Neuron,COL5A2
Motor Cortex,cluster,RORB+ RTKN2+ Layer 2-3 Glutamatergic Neuron,RTKN2
Motor Cortex,cluster,RORB+ RTKN2+ Layer 2-3 Glutamatergic Neuron,SCHLAP1
Motor Cortex,cluster,RORB+ RTKN2+ Layer 2-3 Glutamatergic Neuron,RORB
Motor Cortex,cluster,RORB+ RTKN2+ Layer 2-3 Glutamatergic Neuron,STXBP6
Motor Cortex,cluster,RORB+ RTKN2+ Layer 2-3 Glutamatergic Neuron,ZBTB7C
Motor Cortex,cluster,RORB+ RTKN2+ Layer 2-3 Glutamatergic Neuron,ROBO1
Motor Cortex,cluster,LAMP5+ CARM1P1+ Layer 3 Glutamatergic Neuron,MOXD1
Motor Cortex,cluster,LAMP5+ CARM1P1+ Layer 3 Glutamatergic Neuron,RYR2
Motor Cortex,cluster,LAMP5+ CARM1P1+ Layer 3 Glutamatergic Neuron,LAMP5
Motor Cortex,cluster,LAMP5+ CARM1P1+ Layer 3 Glutamatergic Neuron,SYT2
Motor Cortex,cluster,LAMP5+ CARM1P1+ Layer 3 Glutamatergic Neuron,FMN1
Motor Cortex,cluster,LAMP5+ CARM1P1+ Layer 3 Glutamatergic Neuron,SLC38A11
Motor Cortex,cluster,LAMP5+ CARM1P1+ Layer 3 Glutamatergic Neuron,CARM1P1
Motor Cortex,cluster,LAMP5+ CARM1P1+ Layer 3 Glutamatergic Neuron,PLXDC2
Motor Cortex,cluster,LAMP5+ CARM1P1+ Layer 3 Glutamatergic Neuron,BMPR1B
Motor Cortex,cluster,RORB+ OTOGL+ Layer 3 Glutamatergic Neuron,DPP10
Motor Cortex,cluster,RORB+ OTOGL+ Layer 3 Glutamatergic Neuron,LINCR-0002
Motor Cortex,cluster,RORB+ OTOGL+ Layer 3 Glutamatergic Neuron,PLCH1
Motor Cortex,cluster,RORB+ OTOGL+ Layer 3 Glutamatergic Neuron,TSHZ2
Motor Cortex,cluster,RORB+ OTOGL+ Layer 3 Glutamatergic Neuron,CPNE4
Motor Cortex,cluster,RORB+ OTOGL+ Layer 3 Glutamatergic Neuron,NCAM2
Motor Cortex,cluster,RORB+ OTOGL+ Layer 3 Glutamatergic Neuron,RORB
Motor Cortex,cluster,RORB+ OTOGL+ Layer 3 Glutamatergic Neuron,RMST
Motor Cortex,cluster,RORB+ OTOGL+ Layer 3 Glutamatergic Neuron,OTOGL
Motor Cortex,cluster,THEMIS+ ENPEP+ Layer 3 Glutamatergic Neuron,ENPEP
Motor Cortex,cluster,THEMIS+ ENPEP+ Layer 3 Glutamatergic Neuron,KIAA1217
Motor Cortex,cluster,THEMIS+ ENPEP+ Layer 3 Glutamatergic Neuron,GAP43
Motor Cortex,cluster,THEMIS+ ENPEP+ Layer 3 Glutamatergic Neuron,LDB2
Motor Cortex,cluster,THEMIS+ ENPEP+ Layer 3 Glutamatergic Neuron,FAP
Motor Cortex,cluster,THEMIS+ ENPEP+ Layer 3 Glutamatergic Neuron,LAMA2
Motor Cortex,cluster,THEMIS+ ENPEP+ Layer 3 Glutamatergic Neuron,ITPR2
Motor Cortex,cluster,THEMIS+ ENPEP+ Layer 3 Glutamatergic Neuron,PPARGC1A
Motor Cortex,cluster,THEMIS+ ENPEP+ Layer 3 Glutamatergic Neuron,ASIC2
Motor Cortex,cluster,FEZF2+ ASGR2+ Layer 3-5 Glutamatergic Neuron,LINGO2
Motor Cortex,cluster,FEZF2+ ASGR2+ Layer 3-5 Glutamatergic Neuron,SEMA6D
Motor Cortex,cluster,FEZF2+ ASGR2+ Layer 3-5 Glutamatergic Neuron,ERG
Motor Cortex,cluster,FEZF2+ ASGR2+ Layer 3-5 Glutamatergic Neuron,LINC00922
Motor Cortex,cluster,FEZF2+ ASGR2+ Layer 3-5 Glutamatergic Neuron,RASAL2
Motor Cortex,cluster,FEZF2+ ASGR2+ Layer 3-5 Glutamatergic Neuron,GFRA1
Motor Cortex,cluster,FEZF2+ ASGR2+ Layer 3-5 Glutamatergic Neuron,SORCS1
Motor Cortex,cluster,FEZF2+ ASGR2+ Layer 3-5 Glutamatergic Neuron,FEZF2
Motor Cortex,cluster,FEZF2+ ASGR2+ Layer 3-5 Glutamatergic Neuron,ASGR2
Motor Cortex,cluster,FEZF2+ LINC01107+ Layer 3-5 Glutamatergic Neuron,BTNL9
Motor Cortex,cluster,FEZF2+ LINC01107+ Layer 3-5 Glutamatergic Neuron,EDNRB
Motor Cortex,cluster,FEZF2+ LINC01107+ Layer 3-5 Glutamatergic Neuron,ADGRG6
Motor Cortex,cluster,FEZF2+ LINC01107+ Layer 3-5 Glutamatergic Neuron,PCDH11X
Motor Cortex,cluster,FEZF2+ LINC01107+ Layer 3-5 Glutamatergic Neuron,LINC01107
Motor Cortex,cluster,FEZF2+ LINC01107+ Layer 3-5 Glutamatergic Neuron,LINC00922
Motor Cortex,cluster,FEZF2+ LINC01107+ Layer 3-5 Glutamatergic Neuron,SGCZ
Motor Cortex,cluster,FEZF2+ LINC01107+ Layer 3-5 Glutamatergic Neuron,FEZF2
Motor Cortex,cluster,FEZF2+ LINC01107+ Layer 3-5 Glutamatergic Neuron,VWC2L
Motor Cortex,cluster,RORB+ LAMA4+ Layer 3-5 Glutamatergic Neuron,DACH1
Motor Cortex,cluster,RORB+ LAMA4+ Layer 3-5 Glutamatergic Neuron,CUX2
Motor Cortex,cluster,RORB+ LAMA4+ Layer 3-5 Glutamatergic Neuron,PLCH1
Motor Cortex,cluster,RORB+ LAMA4+ Layer 3-5 Glutamatergic Neuron,LAMA4
Motor Cortex,cluster,RORB+ LAMA4+ Layer 3-5 Glutamatergic Neuron,IL1RAP
Motor Cortex,cluster,RORB+ LAMA4+ Layer 3-5 Glutamatergic Neuron,RORB
Motor Cortex,cluster,RORB+ LAMA4+ Layer 3-5 Glutamatergic Neuron,ANTXR2
Motor Cortex,cluster,RORB+ LAMA4+ Layer 3-5 Glutamatergic Neuron,RMST
Motor Cortex,cluster,RORB+ LAMA4+ Layer 3-5 Glutamatergic Neuron,RORA
Motor Cortex,cluster,RORB+ LINC01202+ Layer 3-5 Glutamatergic Neuron,HTR1F
Motor Cortex,cluster,RORB+ LINC01202+ Layer 3-5 Glutamatergic Neuron,TSHZ2
Motor Cortex,cluster,RORB+ LINC01202+ Layer 3-5 Glutamatergic Neuron,IL1RAPL2
Motor Cortex,cluster,RORB+ LINC01202+ Layer 3-5 Glutamatergic Neuron,TPBG
Motor Cortex,cluster,RORB+ LINC01202+ Layer 3-5 Glutamatergic Neuron,PCDH7
Motor Cortex,cluster,RORB+ LINC01202+ Layer 3-5 Glutamatergic Neuron,RORB
Motor Cortex,cluster,RORB+ LINC01202+ Layer 3-5 Glutamatergic Neuron,HS3ST4
Motor Cortex,cluster,RORB+ LINC01202+ Layer 3-5 Glutamatergic Neuron,LINC01202
Motor Cortex,cluster,RORB+ LINC01202+ Layer 3-5 Glutamatergic Neuron,EPHA3
Motor Cortex,cluster,RORB+ LNX2+ Layer 3-5 Glutamatergic Neuron,RGS6
Motor Cortex,cluster,RORB+ LNX2+ Layer 3-5 Glutamatergic Neuron,PCP4
Motor Cortex,cluster,RORB+ LNX2+ Layer 3-5 Glutamatergic Neuron,LRRK1
Motor Cortex,cluster,RORB+ LNX2+ Layer 3-5 Glutamatergic Neuron,GRM7
Motor Cortex,cluster,RORB+ LNX2+ Layer 3-5 Glutamatergic Neuron,CHN2
Motor Cortex,cluster,RORB+ LNX2+ Layer 3-5 Glutamatergic Neuron,NTM
Motor Cortex,cluster,RORB+ LNX2+ Layer 3-5 Glutamatergic Neuron,LNX2
Motor Cortex,cluster,RORB+ LNX2+ Layer 3-5 Glutamatergic Neuron,COL11A1
Motor Cortex,cluster,RORB+ LNX2+ Layer 3-5 Glutamatergic Neuron,FAM19A1
Motor Cortex,cluster,RORB+ RPRM+ Layer 3-5 Glutamatergic Neuron,SEMA3E
Motor Cortex,cluster,RORB+ RPRM+ Layer 3-5 Glutamatergic Neuron,SLC9A9
Motor Cortex,cluster,RORB+ RPRM+ Layer 3-5 Glutamatergic Neuron,RORB
Motor Cortex,cluster,RORB+ RPRM+ Layer 3-5 Glutamatergic Neuron,SPARCL1
Motor Cortex,cluster,RORB+ RPRM+ Layer 3-5 Glutamatergic Neuron,CCK
Motor Cortex,cluster,RORB+ RPRM+ Layer 3-5 Glutamatergic Neuron,IPCEF1
Motor Cortex,cluster,RORB+ RPRM+ Layer 3-5 Glutamatergic Neuron,RXFP1
Motor Cortex,cluster,RORB+ RPRM+ Layer 3-5 Glutamatergic Neuron,RPRM
Motor Cortex,cluster,RORB+ RPRM+ Layer 3-5 Glutamatergic Neuron,FSTL4
Motor Cortex,cluster,RORB+ TNNT2+ Layer 3-5 Glutamatergic Neuron,LAMA2
Motor Cortex,cluster,RORB+ TNNT2+ Layer 3-5 Glutamatergic Neuron,TNNT2
Motor Cortex,cluster,RORB+ TNNT2+ Layer 3-5 Glutamatergic Neuron,TSHZ2
Motor Cortex,cluster,RORB+ TNNT2+ Layer 3-5 Glutamatergic Neuron,FSHR
Motor Cortex,cluster,RORB+ TNNT2+ Layer 3-5 Glutamatergic Neuron,IL1RAPL2
Motor Cortex,cluster,RORB+ TNNT2+ Layer 3-5 Glutamatergic Neuron,CPNE4
Motor Cortex,cluster,RORB+ TNNT2+ Layer 3-5 Glutamatergic Neuron,RORB
Motor Cortex,cluster,RORB+ TNNT2+ Layer 3-5 Glutamatergic Neuron,THEMIS
Motor Cortex,cluster,RORB+ TNNT2+ Layer 3-5 Glutamatergic Neuron,UTRN
Motor Cortex,cluster,FEZF2+ CSN1S1+ Layer 5 Glutamatergic Neuron,KCNG2
Motor Cortex,cluster,FEZF2+ CSN1S1+ Layer 5 Glutamatergic Neuron,KCNIP1
Motor Cortex,cluster,FEZF2+ CSN1S1+ Layer 5 Glutamatergic Neuron,ANKRD26P3
Motor Cortex,cluster,FEZF2+ CSN1S1+ Layer 5 Glutamatergic Neuron,NETO1
Motor Cortex,cluster,FEZF2+ CSN1S1+ Layer 5 Glutamatergic Neuron,PAPPA
Motor Cortex,cluster,FEZF2+ CSN1S1+ Layer 5 Glutamatergic Neuron,CSN1S1
Motor Cortex,cluster,FEZF2+ CSN1S1+ Layer 5 Glutamatergic Neuron,SULF2
Motor Cortex,cluster,FEZF2+ CSN1S1+ Layer 5 Glutamatergic Neuron,FEZF2
Motor Cortex,cluster,FEZF2+ CSN1S1+ Layer 5 Glutamatergic Neuron,GRM1
Motor Cortex,cluster,FEZF2+ NREP-AS1+ Layer 5 Glutamatergic Neuron,NWD2
Motor Cortex,cluster,FEZF2+ NREP-AS1+ Layer 5 Glutamatergic Neuron,LINC01507
Motor Cortex,cluster,FEZF2+ NREP-AS1+ Layer 5 Glutamatergic Neuron,MAST4
Motor Cortex,cluster,FEZF2+ NREP-AS1+ Layer 5 Glutamatergic Neuron,NREP-AS1
Motor Cortex,cluster,FEZF2+ NREP-AS1+ Layer 5 Glutamatergic Neuron,GPC5
Motor Cortex,cluster,FEZF2+ NREP-AS1+ Layer 5 Glutamatergic Neuron,ADAMTS12
Motor Cortex,cluster,FEZF2+ NREP-AS1+ Layer 5 Glutamatergic Neuron,FER1L6-AS2
Motor Cortex,cluster,FEZF2+ NREP-AS1+ Layer 5 Glutamatergic Neuron,FEZF2
Motor Cortex,cluster,FEZF2+ NREP-AS1+ Layer 5 Glutamatergic Neuron,GRIK1
Motor Cortex,cluster,FEZF2+ PKD2L1+ Layer 5 Glutamatergic Neuron,ROBO3
Motor Cortex,cluster,FEZF2+ PKD2L1+ Layer 5 Glutamatergic Neuron,TRPM3
Motor Cortex,cluster,FEZF2+ PKD2L1+ Layer 5 Glutamatergic Neuron,NPSR1-AS1
Motor Cortex,cluster,FEZF2+ PKD2L1+ Layer 5 Glutamatergic Neuron,PDE1A
Motor Cortex,cluster,FEZF2+ PKD2L1+ Layer 5 Glutamatergic Neuron,PKD2L1
Motor Cortex,cluster,FEZF2+ PKD2L1+ Layer 5 Glutamatergic Neuron,GPC5
Motor Cortex,cluster,FEZF2+ PKD2L1+ Layer 5 Glutamatergic Neuron,FEZF2
Motor Cortex,cluster,FEZF2+ PKD2L1+ Layer 5 Glutamatergic Neuron,RALYL
Motor Cortex,cluster,FEZF2+ PKD2L1+ Layer 5 Glutamatergic Neuron,NPSR1
Motor Cortex,cluster,FEZF2+ RNF144A-AS1+ Layer 5 Glutamatergic Neuron,RNF144A-AS1
Motor Cortex,cluster,FEZF2+ RNF144A-AS1+ Layer 5 Glutamatergic Neuron,GDNF-AS1
Motor Cortex,cluster,FEZF2+ RNF144A-AS1+ Layer 5 Glutamatergic Neuron,PVT1
Motor Cortex,cluster,FEZF2+ RNF144A-AS1+ Layer 5 Glutamatergic Neuron,GPC6
Motor Cortex,cluster,FEZF2+ RNF144A-AS1+ Layer 5 Glutamatergic Neuron,CD36
Motor Cortex,cluster,FEZF2+ RNF144A-AS1+ Layer 5 Glutamatergic Neuron,FEZF2
Motor Cortex,cluster,FEZF2+ RNF144A-AS1+ Layer 5 Glutamatergic Neuron,GRIK1
Motor Cortex,cluster,FEZF2+ RNF144A-AS1+ Layer 5 Glutamatergic Neuron,LRRC4C
Motor Cortex,cluster,FEZF2+ RNF144A-AS1+ Layer 5 Glutamatergic Neuron,NPSR1
Motor Cortex,cluster,RORB+ MED8+ Layer 5 Glutamatergic Neuron,KCNH5
Motor Cortex,cluster,RORB+ MED8+ Layer 5 Glutamatergic Neuron,IL1RAPL2
Motor Cortex,cluster,RORB+ MED8+ Layer 5 Glutamatergic Neuron,COL22A1
Motor Cortex,cluster,RORB+ MED8+ Layer 5 Glutamatergic Neuron,FAM19A2
Motor Cortex,cluster,RORB+ MED8+ Layer 5 Glutamatergic Neuron,LRRC7
Motor Cortex,cluster,RORB+ MED8+ Layer 5 Glutamatergic Neuron,RORB
Motor Cortex,cluster,RORB+ MED8+ Layer 5 Glutamatergic Neuron,RXFP1
Motor Cortex,cluster,RORB+ MED8+ Layer 5 Glutamatergic Neuron,FNBP1L
Motor Cortex,cluster,RORB+ MED8+ Layer 5 Glutamatergic Neuron,MED8
Motor Cortex,cluster,THEMIS+ FGF10+ Layer 5 Glutamatergic Neuron,RCAN2
Motor Cortex,cluster,THEMIS+ FGF10+ Layer 5 Glutamatergic Neuron,NELL1
Motor Cortex,cluster,THEMIS+ FGF10+ Layer 5 Glutamatergic Neuron,CA10
Motor Cortex,cluster,THEMIS+ FGF10+ Layer 5 Glutamatergic Neuron,BDNF
Motor Cortex,cluster,THEMIS+ FGF10+ Layer 5 Glutamatergic Neuron,TESPA1
Motor Cortex,cluster,THEMIS+ FGF10+ Layer 5 Glutamatergic Neuron,FGF10
Motor Cortex,cluster,THEMIS+ FGF10+ Layer 5 Glutamatergic Neuron,CRH
Motor Cortex,cluster,THEMIS+ FGF10+ Layer 5 Glutamatergic Neuron,THEMIS
Motor Cortex,cluster,THEMIS+ FGF10+ Layer 5 Glutamatergic Neuron,RXFP1
Motor Cortex,cluster,THEMIS+ LINC01116+ Layer 5 Glutamatergic Neuron,SEMA3E
Motor Cortex,cluster,THEMIS+ LINC01116+ Layer 5 Glutamatergic Neuron,THEMIS
Motor Cortex,cluster,THEMIS+ LINC01116+ Layer 5 Glutamatergic Neuron,LINC01116
Motor Cortex,cluster,THEMIS+ LINC01116+ Layer 5 Glutamatergic Neuron,DPP4
Motor Cortex,cluster,THEMIS+ LINC01116+ Layer 5 Glutamatergic Neuron,HCRTR2
Motor Cortex,cluster,THEMIS+ RGPD6+ Layer 5 Glutamatergic Neuron,DDR2
Motor Cortex,cluster,THEMIS+ RGPD6+ Layer 5 Glutamatergic Neuron,TRPC6
Motor Cortex,cluster,THEMIS+ RGPD6+ Layer 5 Glutamatergic Neuron,SEMA5A
Motor Cortex,cluster,THEMIS+ RGPD6+ Layer 5 Glutamatergic Neuron,RGPD6
Motor Cortex,cluster,THEMIS+ RGPD6+ Layer 5 Glutamatergic Neuron,EGFEM1P
Motor Cortex,cluster,THEMIS+ RGPD6+ Layer 5 Glutamatergic Neuron,LINC01060
Motor Cortex,cluster,THEMIS+ RGPD6+ Layer 5 Glutamatergic Neuron,RNF152
Motor Cortex,cluster,THEMIS+ RGPD6+ Layer 5 Glutamatergic Neuron,THEMIS
Motor Cortex,cluster,THEMIS+ SLC22A18+ Layer 5 Glutamatergic Neuron,EPHA6
Motor Cortex,cluster,THEMIS+ SLC22A18+ Layer 5 Glutamatergic Neuron,GRIN3A
Motor Cortex,cluster,THEMIS+ SLC22A18+ Layer 5 Glutamatergic Neuron,CCBE1
Motor Cortex,cluster,THEMIS+ SLC22A18+ Layer 5 Glutamatergic Neuron,SLC22A18
Motor Cortex,cluster,THEMIS+ SLC22A18+ Layer 5 Glutamatergic Neuron,COL21A1
Motor Cortex,cluster,THEMIS+ SLC22A18+ Layer 5 Glutamatergic Neuron,MKX
Motor Cortex,cluster,THEMIS+ SLC22A18+ Layer 5 Glutamatergic Neuron,LDLRAD4
Motor Cortex,cluster,THEMIS+ SLC22A18+ Layer 5 Glutamatergic Neuron,THEMIS
Motor Cortex,cluster,THEMIS+ SLC22A18+ Layer 5 Glutamatergic Neuron,HS3ST2
Motor Cortex,cluster,THEMIS+ VILL+ Layer 5 Glutamatergic Neuron,CDH6
Motor Cortex,cluster,THEMIS+ VILL+ Layer 5 Glutamatergic Neuron,DACH1
Motor Cortex,cluster,THEMIS+ VILL+ Layer 5 Glutamatergic Neuron,NELL1
Motor Cortex,cluster,THEMIS+ VILL+ Layer 5 Glutamatergic Neuron,NPFFR2
Motor Cortex,cluster,THEMIS+ VILL+ Layer 5 Glutamatergic Neuron,FAP
Motor Cortex,cluster,THEMIS+ VILL+ Layer 5 Glutamatergic Neuron,VILL
Motor Cortex,cluster,THEMIS+ VILL+ Layer 5 Glutamatergic Neuron,THEMIS
Motor Cortex,cluster,THEMIS+ VILL+ Layer 5 Glutamatergic Neuron,LRP1B
Motor Cortex,cluster,THEMIS+ VILL+ Layer 5 Glutamatergic Neuron,SAMD5
Motor Cortex,cluster,FEZF2+ C9orf135-AS1+ Layer 5-6 Glutamatergic Neuron,SEMA5A
Motor Cortex,cluster,FEZF2+ C9orf135-AS1+ Layer 5-6 Glutamatergic Neuron,LRRTM4
Motor Cortex,cluster,FEZF2+ C9orf135-AS1+ Layer 5-6 Glutamatergic Neuron,PRKD1
Motor Cortex,cluster,FEZF2+ C9orf135-AS1+ Layer 5-6 Glutamatergic Neuron,EGFEM1P
Motor Cortex,cluster,FEZF2+ C9orf135-AS1+ Layer 5-6 Glutamatergic Neuron,HS3ST4
Motor Cortex,cluster,FEZF2+ C9orf135-AS1+ Layer 5-6 Glutamatergic Neuron,C9ORF135-AS1
Motor Cortex,cluster,FEZF2+ C9orf135-AS1+ Layer 5-6 Glutamatergic Neuron,FEZF2
Motor Cortex,cluster,FEZF2+ C9orf135-AS1+ Layer 5-6 Glutamatergic Neuron,RALYL
Motor Cortex,cluster,FEZF2+ C9orf135-AS1+ Layer 5-6 Glutamatergic Neuron,OPCML
Motor Cortex,cluster,FEZF2+ CFTR+ Layer 5-6 Glutamatergic Neuron,CTGF
Motor Cortex,cluster,FEZF2+ CFTR+ Layer 5-6 Glutamatergic Neuron,TMEM244
Motor Cortex,cluster,FEZF2+ CFTR+ Layer 5-6 Glutamatergic Neuron,CALCRL
Motor Cortex,cluster,FEZF2+ CFTR+ Layer 5-6 Glutamatergic Neuron,EPB41L4A
Motor Cortex,cluster,FEZF2+ CFTR+ Layer 5-6 Glutamatergic Neuron,MCTP2
Motor Cortex,cluster,FEZF2+ CFTR+ Layer 5-6 Glutamatergic Neuron,ERG
Motor Cortex,cluster,FEZF2+ CFTR+ Layer 5-6 Glutamatergic Neuron,FEZF2
Motor Cortex,cluster,FEZF2+ CFTR+ Layer 5-6 Glutamatergic Neuron,CLDN1
Motor Cortex,cluster,FEZF2+ CFTR+ Layer 5-6 Glutamatergic Neuron,CFTR
Motor Cortex,cluster,FEZF2+ FILIP1L+ Layer 5-6 Glutamatergic Neuron,SEMA5A
Motor Cortex,cluster,FEZF2+ FILIP1L+ Layer 5-6 Glutamatergic Neuron,SEMA3E
Motor Cortex,cluster,FEZF2+ FILIP1L+ Layer 5-6 Glutamatergic Neuron,XIST
Motor Cortex,cluster,FEZF2+ FILIP1L+ Layer 5-6 Glutamatergic Neuron,EGFEM1P
Motor Cortex,cluster,FEZF2+ FILIP1L+ Layer 5-6 Glutamatergic Neuron,ALDOA
Motor Cortex,cluster,FEZF2+ FILIP1L+ Layer 5-6 Glutamatergic Neuron,FEZF2
Motor Cortex,cluster,FEZF2+ FILIP1L+ Layer 5-6 Glutamatergic Neuron,FILIP1L
Motor Cortex,cluster,FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron,NPSR1-AS1
Motor Cortex,cluster,FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron,IFNG-AS1
Motor Cortex,cluster,FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron,PCDH11X
Motor Cortex,cluster,FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron,HTR2C
Motor Cortex,cluster,FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron,KCNQ5
Motor Cortex,cluster,FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron,NRXN3
Motor Cortex,cluster,FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron,FER1L6-AS2
Motor Cortex,cluster,FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron,FEZF2
Motor Cortex,cluster,FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron,DGKI
Motor Cortex,cluster,FEZF2+ LPO+ Layer 5-6 Glutamatergic Neuron,CALCRL
Motor Cortex,cluster,FEZF2+ LPO+ Layer 5-6 Glutamatergic Neuron,ZNF385D-AS2
