miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT000456,hsa-miR-155-5p,hsa,SOCS1,8651.0,hsa,ELISA//qRT-PCR//Western blot,Functional MTI,27817193.0
MIRT006677,mmu-miR-2861,mmu,Hdac5,15184.0,mmu,qRT-PCR//Western blot,Functional MTI,25997799.0
MIRT736197,hsa-miR-378a-3p,hsa,WNT10A,80326.0,hsa,Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27832641.0
MIRT736197,hsa-miR-378a-3p,hsa,WNT10A,80326.0,hsa,Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27832641.0
MIRT006095,mmu-miR-125b-5p,mmu,Bak1,12018.0,mmu,Western blot,Functional MTI,26024858.0
MIRT006095,mmu-miR-125b-5p,mmu,Bak1,12018.0,mmu,Western blot,Functional MTI,26024858.0
MIRT652739,hsa-miR-378a-3p,hsa,TGFB2,7042.0,hsa,Flow//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27855367.0
MIRT652739,hsa-miR-378a-3p,hsa,TGFB2,7042.0,hsa,Flow//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27855367.0
MIRT054761,hsa-miR-638,hsa,SOX2,6657.0,hsa,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27878280.0
MIRT054761,hsa-miR-638,hsa,SOX2,6657.0,hsa,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27878280.0
MIRT005721,hsa-miR-98-5p,hsa,EZH2,2146.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27890434.0
MIRT005721,hsa-miR-98-5p,hsa,EZH2,2146.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27890434.0
MIRT007329,hsa-miR-22-3p,hsa,SP1,6667.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27904693.0
MIRT007329,hsa-miR-22-3p,hsa,SP1,6667.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27904693.0
MIRT000711,hsa-miR-146a-5p,hsa,TRAF6,7189.0,hsa,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27904767.0
MIRT000711,hsa-miR-146a-5p,hsa,TRAF6,7189.0,hsa,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27904767.0
MIRT000381,hsa-miR-101-3p,hsa,EZH2,2146.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26718325.0
MIRT000381,hsa-miR-101-3p,hsa,EZH2,2146.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26718325.0
MIRT000381,hsa-miR-101-3p,hsa,EZH2,2146.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26718325.0
MIRT000381,hsa-miR-101-3p,hsa,EZH2,2146.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26718325.0
MIRT004275,hsa-miR-15a-5p,hsa,VEGFA,7422.0,hsa,ELISA//Flow//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27916780.0
MIRT004275,hsa-miR-15a-5p,hsa,VEGFA,7422.0,hsa,ELISA//Flow//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27916780.0
MIRT000712,hsa-miR-146a-5p,hsa,IRAK1,3654.0,hsa,ELISA//EMSA//Microarray//qRT-PCR//Western blot,Functional MTI,27922090.0
MIRT006877,hsa-miR-181c-5p,hsa,TRIM2,23321.0,hsa,Immunofluorescence//Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27933582.0
MIRT006877,hsa-miR-181c-5p,hsa,TRIM2,23321.0,hsa,Immunofluorescence//Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27933582.0
MIRT006877,hsa-miR-181c-5p,hsa,TRIM2,23321.0,hsa,Immunofluorescence//Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27933582.0
MIRT006877,hsa-miR-181c-5p,hsa,TRIM2,23321.0,hsa,Immunofluorescence//Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27933582.0
MIRT438575,hsa-miR-126-3p,hsa,LRP6,4040.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26239517.0
MIRT438575,hsa-miR-126-3p,hsa,LRP6,4040.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26239517.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26482648.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26482648.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
