miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT028618,hsa-miR-30a-5p,hsa,RUNX2,860.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26449831.0
MIRT028618,hsa-miR-30a-5p,hsa,RUNX2,860.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26449831.0
MIRT028618,hsa-miR-30a-5p,hsa,RUNX2,860.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26449831.0
MIRT028618,hsa-miR-30a-5p,hsa,RUNX2,860.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26449831.0
MIRT028618,hsa-miR-30a-5p,hsa,RUNX2,860.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26449831.0
MIRT028618,hsa-miR-30a-5p,hsa,RUNX2,860.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26449831.0
MIRT660148,hsa-miR-329-3p,hsa,BRD4,23476.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26456956.0
MIRT660148,hsa-miR-329-3p,hsa,BRD4,23476.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26456956.0
MIRT003216,hsa-miR-10b-5p,hsa,KLF4,9314.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,27764757.0
MIRT003216,hsa-miR-10b-5p,hsa,KLF4,9314.0,hsa,Luciferase reporter assay//Western blot,Non-Functional MTI,27764757.0
MIRT001190,hsa-miR-21-5p,hsa,PTEN,5728.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27811366.0
MIRT001190,hsa-miR-21-5p,hsa,PTEN,5728.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27811366.0
MIRT000456,hsa-miR-155-5p,hsa,SOCS1,8651.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27811366.0
MIRT000456,hsa-miR-155-5p,hsa,SOCS1,8651.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27811366.0
MIRT030694,hsa-miR-21-5p,hsa,SOX2,6657.0,hsa,Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26558781.0
MIRT007362,hsa-miR-21-5p,hsa,SMAD7,4092.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,26575121.0
MIRT005585,hsa-miR-221-3p,hsa,PTEN,5728.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26501139.0
MIRT003414,hsa-miR-96-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,26582573.0
MIRT004900,hsa-miR-296-5p,hsa,HGS,9146.0,hsa,qRT-PCR//Western blot,Functional MTI,26500043.0
MIRT053475,hsa-miR-148a-3p,hsa,CDKN1B,1027.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,27842905.0
