id_cp_interaction,partner_a_Ligand,partner_b_Receptor,,protein_name_a_Ligand,protein_name_b_Receptor,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,version,interaction_name-,classification,directionality,modulatory_effect
,Q03692,integrin_a10b1_complex,COAA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL10A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q03692,integrin_a11b1_complex,COAA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL10A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q03692,integrin_a2b1_complex,COAA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL10A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P12107,integrin_a1b1_complex,COBA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P12107,integrin_a10b1_complex,COBA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P12107,integrin_a11b1_complex,COBA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P12107,integrin_a2b1_complex,COBA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P13942,integrin_a1b1_complex,COBA2,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A2-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P13942,integrin_a10b1_complex,COBA2,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A2-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P13942,integrin_a11b1_complex,COBA2,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A2-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P13942,integrin_a2b1_complex,COBA2,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A2-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q99715,integrin_a1b1_complex,COCA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL12A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q99715,integrin_a10b1_complex,COCA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL12A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q99715,integrin_a11b1_complex,COCA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL12A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q99715,integrin_a2b1_complex,COCA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL12A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q5TAT6,integrin_a1b1_complex,CODA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL13A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q5TAT6,integrin_a10b1_complex,CODA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL13A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q5TAT6,integrin_a11b1_complex,CODA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL13A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q5TAT6,integrin_a2b1_complex,CODA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL13A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q05707,integrin_a1b1_complex,COEA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL14A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q05707,integrin_a10b1_complex,COEA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL14A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
