celltype,metaprogram_id,metaprogram_description,url,gene
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,LRPAP1
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,MAGED2
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,MALAT1
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,NEAT1
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,OS9
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,PDIA3
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,PDIA4
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,PDIA6
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,PIGT
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,PPIB
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,PRDX4
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,PSAP
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,RPN2
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,SERPINA1
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,SERPINE2
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,SIL1
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,SLC3A2
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,SPP1
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,TIMP1
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,TM9SF2
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,TMEM59
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,TSPAN1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,ABHD14B
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,AHCY
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,APEX1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,C19orf48P
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,CCDC85B
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,CCNB1IP1
