celltype,metaprogram_description,gene
FIBROBLASTS,CAF3,MACF1
FIBROBLASTS,MHC-II/Cytokine,RBP5
FIBROBLASTS,CAF4,VMP1
FIBROBLASTS,Lipid-metabolism,COX4I2
FIBROBLASTS,CAF5,MT1X
FIBROBLASTS,CAF6,KRT19
FIBROBLASTS,CAF7,CPE
FIBROBLASTS,CAF8,INMT
FIBROBLASTS,MHC-II,AP1S2
FIBROBLASTS,CAF9,EMP1
FIBROBLASTS,CAF10,MEST
FIBROBLASTS,CAF1,LUM
FIBROBLASTS,Pericyte-like,CRIP1
FIBROBLASTS,Complement,CXCL14
FIBROBLASTS,Stress,SOCS3
FIBROBLASTS,Hypoxia,MMP1
FIBROBLASTS,Cell-cycle,CENPW
FIBROBLASTS,Interferon,TNFSF10
FIBROBLASTS,Myofibroblasts,TNFRSF12A
FIBROBLASTS,PI16+,CREB5
FIBROBLASTS,Metal-response,CFB
FIBROBLASTS,CAF2,POSTN
FIBROBLASTS,CAF3,TCF21
FIBROBLASTS,MHC-II/Cytokine,TMEM176B
FIBROBLASTS,CAF4,SYNE1
FIBROBLASTS,Lipid-metabolism,CYBA
FIBROBLASTS,CAF5,MYH11
FIBROBLASTS,CAF6,SLC12A8
FIBROBLASTS,CAF7,SPRY1
FIBROBLASTS,CAF8,CDKN2B
FIBROBLASTS,MHC-II,CD74
FIBROBLASTS,CAF9,FOSL1
FIBROBLASTS,CAF10,TGM2
FIBROBLASTS,CAF1,SFRP4
FIBROBLASTS,Pericyte-like,SPARCL1
FIBROBLASTS,Complement,MFAP4
FIBROBLASTS,Stress,IER2
FIBROBLASTS,Hypoxia,CXCL1
FIBROBLASTS,Cell-cycle,NUSAP1
FIBROBLASTS,Interferon,EPSTI1
FIBROBLASTS,Myofibroblasts,TUBA1B
FIBROBLASTS,PI16+,DBN1
FIBROBLASTS,Metal-response,CXCL1
FIBROBLASTS,CAF2,BPGM
FIBROBLASTS,CAF3,FGFR4
FIBROBLASTS,MHC-II/Cytokine,C3
FIBROBLASTS,CAF4,WSB1
FIBROBLASTS,Lipid-metabolism,GMFG
FIBROBLASTS,CAF5,PLN
FIBROBLASTS,CAF6,TIMP3
FIBROBLASTS,CAF7,TNFRSF11B
FIBROBLASTS,CAF8,CST2
FIBROBLASTS,MHC-II,HLA-DPB1
FIBROBLASTS,CAF9,HMOX1
FIBROBLASTS,CAF10,WNT5A
FIBROBLASTS,CAF1,THBS2
FIBROBLASTS,Pericyte-like,COL4A1
FIBROBLASTS,Complement,SFRP2
FIBROBLASTS,Stress,IER3
FIBROBLASTS,Hypoxia,MMP3
FIBROBLASTS,Cell-cycle,SMC4
FIBROBLASTS,Interferon,GBP1
FIBROBLASTS,Myofibroblasts,C12ORF75
FIBROBLASTS,PI16+,ACKR3
FIBROBLASTS,Metal-response,MT1G
FIBROBLASTS,CAF2,COL4A1
FIBROBLASTS,CAF3,RGCC
FIBROBLASTS,MHC-II/Cytokine,CCL2
FIBROBLASTS,CAF4,XIST
FIBROBLASTS,Lipid-metabolism,SEPT11
FIBROBLASTS,CAF5,TIMP3
FIBROBLASTS,CAF6,TUBB2A
FIBROBLASTS,CAF7,WNT5A
FIBROBLASTS,CAF8,DPEP1
FIBROBLASTS,MHC-II,PMEPA1
FIBROBLASTS,CAF9,IER3
FIBROBLASTS,CAF10,CST1
FIBROBLASTS,CAF1,COL3A1
FIBROBLASTS,Pericyte-like,TPPP3
FIBROBLASTS,Complement,CXCL12
FIBROBLASTS,Stress,IRF1
FIBROBLASTS,Hypoxia,CXCL8
FIBROBLASTS,Cell-cycle,CKS1B
FIBROBLASTS,Interferon,IFI35
FIBROBLASTS,Myofibroblasts,TUBA1C
FIBROBLASTS,PI16+,HTRA3
FIBROBLASTS,Metal-response,PROCR
FIBROBLASTS,CAF2,IGFBP3
FIBROBLASTS,CAF3,CDH11
FIBROBLASTS,MHC-II/Cytokine,CXCL14
FIBROBLASTS,CAF4,ARGLU1
FIBROBLASTS,Lipid-metabolism,CCND1
FIBROBLASTS,CAF5,CNN1
FIBROBLASTS,CAF6,BDKRB1
FIBROBLASTS,CAF7,CRABP2
FIBROBLASTS,CAF8,IGFBP2
FIBROBLASTS,MHC-II,RCAN1
FIBROBLASTS,CAF9,IL6
FIBROBLASTS,CAF10,PDGFD
FIBROBLASTS,CAF1,INHBA
FIBROBLASTS,Pericyte-like,PTP4A3
FIBROBLASTS,Complement,ADH1B
FIBROBLASTS,Stress,JUNB
FIBROBLASTS,Hypoxia,SERPINE1
FIBROBLASTS,Cell-cycle,TYMS
FIBROBLASTS,Interferon,IFIT1
FIBROBLASTS,Myofibroblasts,TUBB6
FIBROBLASTS,PI16+,PCOLCE2
FIBROBLASTS,Metal-response,SAA1
FIBROBLASTS,CAF2,MMP11
FIBROBLASTS,CAF3,CFD
FIBROBLASTS,MHC-II/Cytokine,CYP1B1
FIBROBLASTS,CAF4,ASH1L
FIBROBLASTS,Lipid-metabolism,COL4A1
FIBROBLASTS,CAF5,NEXN
FIBROBLASTS,CAF6,CRIP1
FIBROBLASTS,CAF7,DIO2
FIBROBLASTS,CAF8,PPP1R14A
FIBROBLASTS,MHC-II,FABP5
FIBROBLASTS,CAF9,LIF
FIBROBLASTS,CAF10,PLAT
FIBROBLASTS,CAF1,MMP11
FIBROBLASTS,Pericyte-like,MYH11
FIBROBLASTS,Complement,EFEMP1
FIBROBLASTS,Stress,NFKBIZ
FIBROBLASTS,Hypoxia,BNIP3
FIBROBLASTS,Cell-cycle,CENPF
FIBROBLASTS,Interferon,PSMB9
FIBROBLASTS,Myofibroblasts,COTL1
FIBROBLASTS,PI16+,PROCR
FIBROBLASTS,Metal-response,CXCL6
FIBROBLASTS,CAF2,CYGB
FIBROBLASTS,CAF3,INMT
FIBROBLASTS,MHC-II/Cytokine,CCL21
FIBROBLASTS,CAF4,CCNL2
FIBROBLASTS,Lipid-metabolism,PLXDC1
FIBROBLASTS,CAF5,TAGLN
FIBROBLASTS,CAF6,EMP1
FIBROBLASTS,CAF7,MFAP4
FIBROBLASTS,CAF8,STRA6
FIBROBLASTS,MHC-II,GPM6B
FIBROBLASTS,CAF9,TM4SF1
FIBROBLASTS,CAF10,SOX6
FIBROBLASTS,CAF1,ASPN
FIBROBLASTS,Pericyte-like,TAGLN
FIBROBLASTS,Complement,FBLN1
FIBROBLASTS,Stress,FOS
FIBROBLASTS,Hypoxia,ANGPTL4
FIBROBLASTS,Cell-cycle,HIST1H4C
FIBROBLASTS,Interferon,BST2
FIBROBLASTS,Myofibroblasts,PDLIM7
FIBROBLASTS,PI16+,CLEC3B
FIBROBLASTS,Metal-response,PDZK1IP1
FIBROBLASTS,CAF2,GGT5
FIBROBLASTS,CAF3,MFAP4
FIBROBLASTS,MHC-II/Cytokine,CXCL12
FIBROBLASTS,CAF4,GOLGB1
FIBROBLASTS,Lipid-metabolism,RASD1
FIBROBLASTS,CAF5,BCAM
FIBROBLASTS,CAF6,LINC01133
FIBROBLASTS,CAF7,PAPPA
FIBROBLASTS,CAF8,COMP
FIBROBLASTS,MHC-II,VWA1
FIBROBLASTS,CAF9,ANXA1
FIBROBLASTS,CAF10,TM4SF1
FIBROBLASTS,CAF1,COL11A1
FIBROBLASTS,Pericyte-like,COL18A1
FIBROBLASTS,Complement,OGN
FIBROBLASTS,Stress,CDKN1A
FIBROBLASTS,Hypoxia,CXCL3
FIBROBLASTS,Cell-cycle,TOP2A
FIBROBLASTS,Interferon,CXCL10
FIBROBLASTS,Myofibroblasts,POSTN
FIBROBLASTS,PI16+,IGFBP6
FIBROBLASTS,Metal-response,WFDC2
FIBROBLASTS,CAF2,GUCY1A3
FIBROBLASTS,CAF3,PPP1R14A
FIBROBLASTS,MHC-II/Cytokine,LAP3
FIBROBLASTS,CAF4,MEG3
FIBROBLASTS,Lipid-metabolism,STEAP4
FIBROBLASTS,CAF5,CD9
FIBROBLASTS,CAF6,MAP1B
FIBROBLASTS,CAF7,PLPP3
FIBROBLASTS,CAF8,CRIM1
FIBROBLASTS,MHC-II,CTNNAL1
FIBROBLASTS,CAF9,GPRC5A
FIBROBLASTS,CAF10,AGT
FIBROBLASTS,CAF1,VCAN
FIBROBLASTS,Pericyte-like,CSRP2
FIBROBLASTS,Complement,RARRES1
FIBROBLASTS,Stress,NFKBIA
FIBROBLASTS,Hypoxia,PLIN2
FIBROBLASTS,Cell-cycle,H2AFZ
FIBROBLASTS,Interferon,UBE2L6
FIBROBLASTS,Myofibroblasts,RPL22L1
FIBROBLASTS,PI16+,SCARA5
FIBROBLASTS,Metal-response,CALB2
FIBROBLASTS,CAF2,HES4
FIBROBLASTS,CAF3,SCN7A
FIBROBLASTS,MHC-II/Cytokine,ADRA2A
FIBROBLASTS,CAF4,SULF1
FIBROBLASTS,Lipid-metabolism,APOLD1
FIBROBLASTS,CAF5,CLU
FIBROBLASTS,CAF6,RHOB
FIBROBLASTS,CAF7,PRSS12
FIBROBLASTS,CAF8,IGFBP3
FIBROBLASTS,MHC-II,FXYD1
FIBROBLASTS,CAF9,MAP1B
FIBROBLASTS,CAF10,LSP1
FIBROBLASTS,CAF1,SULF1
FIBROBLASTS,Pericyte-like,TINAGL1
FIBROBLASTS,Complement,IGFBP6
FIBROBLASTS,Stress,CCL2
FIBROBLASTS,Hypoxia,IL6
FIBROBLASTS,Cell-cycle,CCNB1
FIBROBLASTS,Interferon,OAS1
FIBROBLASTS,Myofibroblasts,LRRC59
FIBROBLASTS,PI16+,TPPP3
FIBROBLASTS,Metal-response,CEMIP
FIBROBLASTS,CAF2,COL5A3
FIBROBLASTS,CAF3,CYR61
FIBROBLASTS,MHC-II/Cytokine,FRZB
FIBROBLASTS,CAF4,LENG8
FIBROBLASTS,Lipid-metabolism,C20ORF27
FIBROBLASTS,CAF5,CSRP1
FIBROBLASTS,CAF6,SERPINB2
FIBROBLASTS,CAF7,SLC5A3
FIBROBLASTS,CAF8,IGFBP5
FIBROBLASTS,MHC-II,HBEGF
FIBROBLASTS,CAF9,MIR4435-2HG
FIBROBLASTS,CAF10,MMP11
FIBROBLASTS,CAF1,COL5A1
FIBROBLASTS,Pericyte-like,COL4A2
FIBROBLASTS,Complement,SFRP4
FIBROBLASTS,Stress,GEM
FIBROBLASTS,Hypoxia,NAMPT
FIBROBLASTS,Cell-cycle,KIAA0101
FIBROBLASTS,Interferon,PARP14
FIBROBLASTS,Myofibroblasts,TPM1
FIBROBLASTS,PI16+,MFAP5
FIBROBLASTS,Metal-response,IL13RA2
FIBROBLASTS,CAF2,TNFAIP6
FIBROBLASTS,CAF3,FN1
FIBROBLASTS,MHC-II/Cytokine,SOD2
FIBROBLASTS,CAF4,OGT
FIBROBLASTS,Lipid-metabolism,COL6A3
FIBROBLASTS,CAF5,DEPP1
FIBROBLASTS,CAF6,TGM1
FIBROBLASTS,CAF7,SPON1
FIBROBLASTS,CAF8,LAMP5
FIBROBLASTS,MHC-II,HLA-DMA
FIBROBLASTS,CAF9,PHLDA1
FIBROBLASTS,CAF10,PLAU
FIBROBLASTS,CAF1,COL12A1
FIBROBLASTS,Pericyte-like,MEF2C
FIBROBLASTS,Complement,CCDC80
FIBROBLASTS,Stress,CXCL2
FIBROBLASTS,Hypoxia,TMEM158
FIBROBLASTS,Cell-cycle,MKI67
FIBROBLASTS,Interferon,ISG20
FIBROBLASTS,Myofibroblasts,CNN1
FIBROBLASTS,PI16+,PPP1R14B
FIBROBLASTS,Metal-response,KRT19
FIBROBLASTS,CAF2,IL24
FIBROBLASTS,CAF3,PLEKHH2
FIBROBLASTS,MHC-II/Cytokine,VCAM1
FIBROBLASTS,CAF4,RBM5
FIBROBLASTS,Lipid-metabolism,FABP4
FIBROBLASTS,CAF5,LMOD1
FIBROBLASTS,CAF6,TNFRSF11B
FIBROBLASTS,CAF7,TWIST2
FIBROBLASTS,CAF8,NTM
FIBROBLASTS,MHC-II,SEMA3B
FIBROBLASTS,CAF9,SERPINE1
FIBROBLASTS,CAF10,PROCR
FIBROBLASTS,CAF1,COL1A2
FIBROBLASTS,Pericyte-like,MYLK
FIBROBLASTS,Complement,PLA2G2A
FIBROBLASTS,Stress,JUN
FIBROBLASTS,Hypoxia,VEGFA
FIBROBLASTS,Cell-cycle,TUBA1B
FIBROBLASTS,Interferon,STAT1
FIBROBLASTS,Myofibroblasts,CRABP2
FIBROBLASTS,PI16+,PRSS23
FIBROBLASTS,Metal-response,MT1X
FIBROBLASTS,CAF2,LOXL2
FIBROBLASTS,CAF3,AOC3
FIBROBLASTS,MHC-II/Cytokine,BIRC3
FIBROBLASTS,CAF4,RNF213
FIBROBLASTS,Lipid-metabolism,FAM162B
FIBROBLASTS,CAF5,LTBP1
FIBROBLASTS,CAF6,GPRC5A
FIBROBLASTS,CAF7,APOD
FIBROBLASTS,CAF8,RAMP1
FIBROBLASTS,MHC-II,SPP1
FIBROBLASTS,CAF9,SLC4A7
FIBROBLASTS,CAF10,TSPAN33
FIBROBLASTS,CAF1,ACTA2
FIBROBLASTS,Pericyte-like,COX4I2
FIBROBLASTS,Complement,SRPX
FIBROBLASTS,Stress,KLF4
FIBROBLASTS,Hypoxia,MME
FIBROBLASTS,Cell-cycle,UBE2C
FIBROBLASTS,Interferon,TNFSF13B
FIBROBLASTS,Myofibroblasts,IDH2
FIBROBLASTS,PI16+,UAP1
FIBROBLASTS,Metal-response,ADAMTS9
FIBROBLASTS,CAF2,NOTCH3
FIBROBLASTS,CAF3,FMO2
FIBROBLASTS,MHC-II/Cytokine,CLU
FIBROBLASTS,CAF4,ZNF638
FIBROBLASTS,Lipid-metabolism,FRMD3
FIBROBLASTS,CAF5,NDUFA4
FIBROBLASTS,CAF6,IGFBP6
FIBROBLASTS,CAF7,CCL11
FIBROBLASTS,CAF8,SEMA3C
FIBROBLASTS,MHC-II,CD9
FIBROBLASTS,CAF9,SOD2
FIBROBLASTS,CAF10,BMP5
FIBROBLASTS,CAF1,MMP2
FIBROBLASTS,Pericyte-like,CRIP2
FIBROBLASTS,Complement,GPX3
FIBROBLASTS,Stress,C11ORF96
FIBROBLASTS,Hypoxia,HILPDA
FIBROBLASTS,Cell-cycle,DTYMK
FIBROBLASTS,Interferon,GBP2
FIBROBLASTS,Myofibroblasts,TPM2
FIBROBLASTS,PI16+,CADM3
FIBROBLASTS,Metal-response,ID1
FIBROBLASTS,CAF2,OLFM2
FIBROBLASTS,CAF3,FOS
FIBROBLASTS,MHC-II/Cytokine,CTSS
FIBROBLASTS,CAF4,BPTF
FIBROBLASTS,Lipid-metabolism,HIGD1B
FIBROBLASTS,CAF5,RARRES2
FIBROBLASTS,CAF6,SERPINE1
FIBROBLASTS,CAF7,CP
FIBROBLASTS,CAF8,CDC42EP3
FIBROBLASTS,MHC-II,FSTL3
FIBROBLASTS,CAF9,TNFRSF12A
FIBROBLASTS,CAF10,COL12A1
FIBROBLASTS,CAF1,COL6A3
FIBROBLASTS,Pericyte-like,A2M
FIBROBLASTS,Complement,IGF1
FIBROBLASTS,Stress,CSRNP1
FIBROBLASTS,Hypoxia,IL24
FIBROBLASTS,Cell-cycle,MAD2L1
FIBROBLASTS,Interferon,CCL2
FIBROBLASTS,Myofibroblasts,CREB3L1
FIBROBLASTS,PI16+,EFHD1
FIBROBLASTS,Metal-response,MGST1
FIBROBLASTS,CAF2,PAG1
FIBROBLASTS,CAF3,G0S2
FIBROBLASTS,MHC-II/Cytokine,CXCL13
FIBROBLASTS,CAF4,FAT1
FIBROBLASTS,Lipid-metabolism,IFI27
FIBROBLASTS,CAF5,S100A4
FIBROBLASTS,CAF6,TPPP3
FIBROBLASTS,CAF7,FMOD
FIBROBLASTS,CAF8,EGR2
FIBROBLASTS,MHC-II,GPC1
FIBROBLASTS,CAF9,AKR1C1
FIBROBLASTS,CAF10,CXCR4
FIBROBLASTS,CAF1,TAGLN
FIBROBLASTS,Pericyte-like,ARHGDIB
FIBROBLASTS,Complement,FGF7
FIBROBLASTS,Stress,GADD45B
FIBROBLASTS,Hypoxia,AKR1B1
FIBROBLASTS,Cell-cycle,PCNA
FIBROBLASTS,Interferon,IFITM1
FIBROBLASTS,Myofibroblasts,EIF4EBP1
FIBROBLASTS,PI16+,TNXB
FIBROBLASTS,Metal-response,SEPP1
FIBROBLASTS,CAF2,SFRP2
FIBROBLASTS,CAF3,LBH
FIBROBLASTS,MHC-II/Cytokine,HLA-DRA
FIBROBLASTS,CAF4,LAMB1
FIBROBLASTS,Lipid-metabolism,IFI6
FIBROBLASTS,CAF5,S100A6
FIBROBLASTS,CAF6,UAP1
FIBROBLASTS,CAF7,IGF2
FIBROBLASTS,CAF8,ELN
FIBROBLASTS,MHC-II,HLA-DRB5
FIBROBLASTS,CAF9,APOD
FIBROBLASTS,CAF10,DLL1
FIBROBLASTS,CAF1,DCN
FIBROBLASTS,Pericyte-like,HIGD1B
FIBROBLASTS,Complement,GPC3
FIBROBLASTS,Stress,NR4A2
FIBROBLASTS,Hypoxia,NDRG1
FIBROBLASTS,Cell-cycle,CDC20
FIBROBLASTS,Interferon,PLSCR1
FIBROBLASTS,Myofibroblasts,MYL9
FIBROBLASTS,PI16+,ADAMTSL4
FIBROBLASTS,Metal-response,CLDN1
FIBROBLASTS,CAF2,SPATS2L
FIBROBLASTS,CAF3,SPINT2
FIBROBLASTS,MHC-II/Cytokine,HLA-DRB1
FIBROBLASTS,CAF4,LUC7L3
FIBROBLASTS,Lipid-metabolism,ISG15
FIBROBLASTS,CAF5,TXNIP
FIBROBLASTS,CAF6,BAMBI
FIBROBLASTS,CAF7,MRPS6
FIBROBLASTS,CAF8,F2R
FIBROBLASTS,MHC-II,IGFBP5
FIBROBLASTS,CAF9,CD59
FIBROBLASTS,CAF10,DMKN
FIBROBLASTS,CAF1,IGFBP3
FIBROBLASTS,Pericyte-like,CAV1
FIBROBLASTS,Complement,MGST1
FIBROBLASTS,Stress,MAFF
FIBROBLASTS,Hypoxia,CXCL6
FIBROBLASTS,Cell-cycle,KPNA2
FIBROBLASTS,Interferon,RSAD2
FIBROBLASTS,Myofibroblasts,NEXN
FIBROBLASTS,PI16+,ALDH1A3
FIBROBLASTS,Metal-response,CYSTM1
FIBROBLASTS,CAF2,ASPN
FIBROBLASTS,CAF3,TGM2
FIBROBLASTS,MHC-II/Cytokine,ABI3BP
FIBROBLASTS,CAF4,MALAT1
FIBROBLASTS,Lipid-metabolism,LPL
FIBROBLASTS,CAF5,AEBP1
FIBROBLASTS,CAF6,CD9
FIBROBLASTS,CAF7,PTGDS
FIBROBLASTS,CAF8,ITGBL1
FIBROBLASTS,MHC-II,ITGB8
FIBROBLASTS,CAF9,CREM
FIBROBLASTS,CAF10,ETS2
FIBROBLASTS,CAF1,COL5A2
FIBROBLASTS,Pericyte-like,GJA4
FIBROBLASTS,Complement,ABCA8
FIBROBLASTS,Stress,PPP1R15A
FIBROBLASTS,Hypoxia,IL11
FIBROBLASTS,Cell-cycle,SMC2
FIBROBLASTS,Interferon,CMPK2
FIBROBLASTS,Myofibroblasts,TGFBI
FIBROBLASTS,PI16+,CRIP1
FIBROBLASTS,Metal-response,EGFL6
FIBROBLASTS,CAF2,COL7A1
FIBROBLASTS,CAF3,CTGF
FIBROBLASTS,MHC-II/Cytokine,APOE
FIBROBLASTS,CAF4,NFAT5
FIBROBLASTS,Lipid-metabolism,MYO1B
FIBROBLASTS,CAF5,CRYAB
FIBROBLASTS,CAF6,CITED2
FIBROBLASTS,CAF7,STC1
FIBROBLASTS,CAF8,LTBP2
FIBROBLASTS,MHC-II,LGI4
FIBROBLASTS,CAF9,CXCL3
FIBROBLASTS,CAF10,F2R
FIBROBLASTS,CAF1,MFAP5
FIBROBLASTS,Pericyte-like,PGF
FIBROBLASTS,Complement,GSN
FIBROBLASTS,Stress,SERTAD1
FIBROBLASTS,Hypoxia,STC1
FIBROBLASTS,Cell-cycle,UBE2T
FIBROBLASTS,Interferon,HAPLN3
FIBROBLASTS,Myofibroblasts,ACTG2
FIBROBLASTS,PI16+,GAS7
FIBROBLASTS,Metal-response,EZR
FIBROBLASTS,CAF2,FMOD
FIBROBLASTS,CAF3,FBLN5
FIBROBLASTS,MHC-II/Cytokine,C7
FIBROBLASTS,CAF4,PEAK1
FIBROBLASTS,Lipid-metabolism,SEPT4
FIBROBLASTS,CAF5,LBH
FIBROBLASTS,CAF6,DES
FIBROBLASTS,CAF7,TMEM176B
FIBROBLASTS,CAF8,MMP28
FIBROBLASTS,MHC-II,MAP1B
FIBROBLASTS,CAF9,CYTOR
FIBROBLASTS,CAF10,F2RL2
FIBROBLASTS,CAF1,IGFBP5
FIBROBLASTS,Pericyte-like,MYL9
FIBROBLASTS,Complement,SOD3
FIBROBLASTS,Stress,CCNL1
FIBROBLASTS,Hypoxia,CD82
FIBROBLASTS,Cell-cycle,ARL6IP1
FIBROBLASTS,Interferon,RARRES3
FIBROBLASTS,Myofibroblasts,CKAP4
FIBROBLASTS,PI16+,MARCKS
FIBROBLASTS,Metal-response,KRT8
FIBROBLASTS,CAF2,LAMP5
FIBROBLASTS,CAF3,FHL1
FIBROBLASTS,MHC-II/Cytokine,IER3
FIBROBLASTS,CAF4,PNISR
FIBROBLASTS,Lipid-metabolism,AGTR1
FIBROBLASTS,CAF5,MSRB3
FIBROBLASTS,CAF6,EMP3
FIBROBLASTS,CAF7,TNFRSF21
FIBROBLASTS,CAF8,NR2F1
FIBROBLASTS,MHC-II,NES
FIBROBLASTS,CAF9,FTH1
FIBROBLASTS,CAF10,FENDRR
FIBROBLASTS,CAF1,ISLR
FIBROBLASTS,Pericyte-like,EGFL6
FIBROBLASTS,Complement,SEPP1
FIBROBLASTS,Stress,MYC
FIBROBLASTS,Hypoxia,PTGES
FIBROBLASTS,Cell-cycle,CCNB2
FIBROBLASTS,Interferon,TAP1
FIBROBLASTS,Myofibroblasts,GJB2
FIBROBLASTS,PI16+,METRNL
FIBROBLASTS,Metal-response,MT1F
FIBROBLASTS,CAF2,PDGFRB
FIBROBLASTS,CAF3,LUM
FIBROBLASTS,MHC-II/Cytokine,RARRES1
FIBROBLASTS,CAF4,TEAD1
FIBROBLASTS,Lipid-metabolism,ASAH1
FIBROBLASTS,CAF5,PDLIM5
FIBROBLASTS,CAF6,EZR
FIBROBLASTS,CAF7,WLS
FIBROBLASTS,CAF8,PKDCC
FIBROBLASTS,MHC-II,PAPPA
FIBROBLASTS,CAF9,GEM
FIBROBLASTS,CAF10,GDF15
FIBROBLASTS,CAF1,CTGF
FIBROBLASTS,Pericyte-like,SOD3
FIBROBLASTS,Complement,SERPINF1
FIBROBLASTS,Stress,HSPA1B
FIBROBLASTS,Hypoxia,TNFAIP6
FIBROBLASTS,Cell-cycle,GGH
FIBROBLASTS,Interferon,CD74
FIBROBLASTS,Myofibroblasts,LOXL2
FIBROBLASTS,PI16+,THBD
FIBROBLASTS,Metal-response,MT2A
FIBROBLASTS,CAF2,PRSS23
FIBROBLASTS,CAF3,MYH10
FIBROBLASTS,MHC-II/Cytokine,RGS16
FIBROBLASTS,CAF4,XAF1
FIBROBLASTS,Lipid-metabolism,COL4A2
FIBROBLASTS,CAF5,PPP1R12B
FIBROBLASTS,CAF6,FLNB
FIBROBLASTS,CAF7,AKR1B1
FIBROBLASTS,CAF8,RFTN1
FIBROBLASTS,MHC-II,PDLIM4
FIBROBLASTS,CAF9,HMGA1
FIBROBLASTS,CAF10,GJA1
FIBROBLASTS,CAF1,CTSK
FIBROBLASTS,Pericyte-like,TPM2
FIBROBLASTS,Complement,APOE
FIBROBLASTS,Stress,NAMPT
FIBROBLASTS,Hypoxia,G0S2
FIBROBLASTS,Cell-cycle,TUBB
FIBROBLASTS,Interferon,CTSS
FIBROBLASTS,Myofibroblasts,PPP1R14B
FIBROBLASTS,PI16+,AIF1L
FIBROBLASTS,Metal-response,PLAT
FIBROBLASTS,CAF2,SPRY1
FIBROBLASTS,CAF3,USP53
FIBROBLASTS,MHC-II/Cytokine,ACOT7
FIBROBLASTS,CAF4,ZKSCAN1
FIBROBLASTS,Lipid-metabolism,EDNRB
FIBROBLASTS,CAF5,SORBS2
FIBROBLASTS,CAF6,FSTL3
FIBROBLASTS,CAF7,BMP4
FIBROBLASTS,CAF8,TNS1
FIBROBLASTS,MHC-II,S100B
FIBROBLASTS,CAF9,HSPA5
FIBROBLASTS,CAF10,HSD17B2
FIBROBLASTS,CAF1,FBLN1
FIBROBLASTS,Pericyte-like,MAP1B
FIBROBLASTS,Complement,ITM2A
FIBROBLASTS,Stress,DUSP1
FIBROBLASTS,Hypoxia,INHBA
FIBROBLASTS,Cell-cycle,ZWINT
FIBROBLASTS,Interferon,GBP4
FIBROBLASTS,Myofibroblasts,STMN1
FIBROBLASTS,PI16+,ANXA3
FIBROBLASTS,Metal-response,RARRES1
FIBROBLASTS,CAF2,TMEM204
FIBROBLASTS,CAF3,DST
FIBROBLASTS,MHC-II/Cytokine,C10ORF10
FIBROBLASTS,CAF4,COL11A1
FIBROBLASTS,Lipid-metabolism,FAM213A
FIBROBLASTS,CAF5,TM4SF1
FIBROBLASTS,CAF6,IL18
FIBROBLASTS,CAF7,CACNA2D3
FIBROBLASTS,CAF8,TSHZ2
FIBROBLASTS,MHC-II,SLC22A17
FIBROBLASTS,CAF9,IGFBP7
FIBROBLASTS,CAF10,MGLL
FIBROBLASTS,CAF1,TIMP3
FIBROBLASTS,Pericyte-like,ANGPT2
FIBROBLASTS,Complement,PRELP
FIBROBLASTS,Stress,HSPA1A
FIBROBLASTS,Hypoxia,COL7A1
FIBROBLASTS,Cell-cycle,HMGB3
FIBROBLASTS,Interferon,IFI27
FIBROBLASTS,Myofibroblasts,TUBB2A
FIBROBLASTS,PI16+,BASP1
FIBROBLASTS,Metal-response,SAA2
FIBROBLASTS,CAF2,APCDD1
FIBROBLASTS,CAF3,ELN
FIBROBLASTS,MHC-II/Cytokine,CHI3L1
FIBROBLASTS,CAF4,DYNC1H1
FIBROBLASTS,Lipid-metabolism,FXYD6
FIBROBLASTS,CAF5,ACTG2
FIBROBLASTS,CAF6,KLF6
FIBROBLASTS,CAF7,CH25H
FIBROBLASTS,CAF8,CADPS
FIBROBLASTS,MHC-II,TMEM176B
FIBROBLASTS,CAF9,IL1R1
FIBROBLASTS,CAF10,PAG1
FIBROBLASTS,CAF1,COMP
FIBROBLASTS,Pericyte-like,CSRP1
FIBROBLASTS,Complement,FBLN5
FIBROBLASTS,Stress,SOD2
FIBROBLASTS,Hypoxia,CXCL2
FIBROBLASTS,Cell-cycle,RRM2
FIBROBLASTS,Interferon,MMP11
FIBROBLASTS,Myofibroblasts,C5ORF46
FIBROBLASTS,PI16+,CMAH
FIBROBLASTS,Metal-response,SLC40A1
FIBROBLASTS,CAF2,APOE
FIBROBLASTS,CAF3,FIBIN
FIBROBLASTS,MHC-II/Cytokine,CLSTN3
FIBROBLASTS,CAF4,LPP
FIBROBLASTS,Lipid-metabolism,ITGA1
FIBROBLASTS,CAF5,CYR61
FIBROBLASTS,CAF6,KRT18
FIBROBLASTS,CAF7,CPXM2
FIBROBLASTS,CAF8,CD248
FIBROBLASTS,MHC-II,TGFBI
FIBROBLASTS,CAF9,ITPRIP
FIBROBLASTS,CAF10,PDPN
FIBROBLASTS,CAF1,ITGBL1
FIBROBLASTS,Pericyte-like,ITGA1
FIBROBLASTS,Complement,COL14A1
FIBROBLASTS,Stress,DNAJA1
FIBROBLASTS,Hypoxia,CHI3L1
FIBROBLASTS,Cell-cycle,UBE2S
FIBROBLASTS,Interferon,APOL1
FIBROBLASTS,Myofibroblasts,FSCN1
FIBROBLASTS,PI16+,COL14A1
FIBROBLASTS,Metal-response,TM4SF1
FIBROBLASTS,CAF2,BST2
FIBROBLASTS,CAF3,GPM6B
FIBROBLASTS,MHC-II/Cytokine,FMO1
